,CL3,CC1,SV1,M31Fcsw,M11Fcsw,M31Plmr,M11Plmr,F21Plmr,M31Tong,M11Tong,LMEpi24M,SLEpi20M,AQC1cm,AQC4cm,AQC7cm,NP2,NP3,NP5,TRRsed1,TRRsed2,TRRsed3,TS28,TS29,Even1,Even2,Even3
540305,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,2,4,5,63,1320,2305,4,0,22,0,0
315545,0,0,0,0,0,0,0,1,10,1,0,0,2,2,0,1,117,727,217,921,694,0,0,1,0,1
348549,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,1,47,771,176,440,340,0,0,4,1,0
108964,0,1,0,0,0,0,2,6,1,0,1,0,1,0,1,3,7,1,166,3437,6404,10,3,21,0,2
175045,0,0,0,0,1,0,0,2,0,0,3,0,0,1,2,1,6,3,83,1692,3030,5,0,27,1,0
546313,72,153,11232,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,9,20,11,0,1,2,2,29
71074,93,341,11788,1,0,23,48,58,2,0,1,1,0,1,0,0,1,0,9,118,51,0,1,4,3,30
100679,6,72,1709,0,0,5,11,19,0,0,1,0,0,0,1,0,0,0,0,33,20,2,0,0,0,2
540349,16,25,1271,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2
246371,0,0,0,0,0,0,0,0,0,1,10,13,143,1730,1874,10,0,0,1,1,1,0,1,2,0,0
254458,0,0,0,0,0,0,0,0,0,2,4,2,63,796,840,4,0,0,1,0,0,0,0,1,0,0
245697,0,3,0,1,1,0,0,0,2,1,19,31,646,6350,6459,42,2,3,0,2,0,0,0,6,1,1
62881,0,0,0,0,0,0,0,0,1,1,2,2,237,600,691,3,1,0,0,0,0,0,0,3,0,0
319002,3,0,0,1,0,0,0,0,3,6,46,51,1784,9254,11824,73,9,8,0,2,0,2,1,21,5,1
250392,2,2,3,2,0,2,11,1,194,11,7,2,160,56,16,1396,42696,24854,56,14,1,3,1,10,5,8
308755,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,59,18,1014,1,0,0,0,0,0,0,0
255494,1,0,0,0,0,0,2,0,30,2,0,0,1,9,1,60,159,3386,8,2,0,0,0,0,0,0
146866,1,0,0,0,0,0,0,1,13,0,0,0,1,1,0,34,23,1026,2,1,0,0,1,0,0,0
155847,0,0,0,0,0,0,0,0,15,1,0,0,1,6,1,94,16,1369,4,0,0,0,1,0,0,1
77878,1,0,0,0,0,0,1,0,2,2,20,22,634,2083,2518,17,3,1,1,1,0,1,2,2,0,1
227785,0,1,0,27,54,0,0,0,4,0,1,0,7,0,0,0,1,1,0,1,11,1566,1668,2,0,2
248838,14,21,957,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12812,6,14,9,7,13,7,12,12,1888,115,38,23,302,632,94,15527,15682,161687,297,36,17,28,14,44,15,31
241082,0,1,0,0,1,0,0,0,2,0,1,0,3,30,9,898,0,215,0,3,0,0,0,1,0,1
349592,1,0,1,0,0,1,1,1,24,2,0,4,6,49,11,1739,41,2906,8,2,0,1,1,5,0,0
215846,2,7,2,0,0,0,0,0,1,0,1,50,290,414,498,1,0,0,0,0,1,0,0,1,0,0
317641,7,2,7,0,0,0,2,0,0,6,311,373,231,240,212,0,0,0,0,9,2,0,2,2,1,0
512041,237,399,473,0,0,2,2,6,1,0,9,1,50,81,60,1,1,1,1,0,0,0,0,2,2,2
